HGNCsym	HPOterms
AMBRA1	
ATG14	
ATP2A1	Muscle cramps,Autosomal recessive inheritance
ATP2A2	Seizures,Hyperkeratosis,Epidermal acanthosis,Skin vesicle,Autosomal dominant inheritance,Bipolar affective disorder,Intellectual disability, mild,Hypermelanotic macule,Ridged nail,Schizophrenia,Palmar pits,Acrokeratosis,Plantar pits,Palmoplantar keratoderma,Enlargement of parotid gland,Subungual hyperkeratotic fragments,Abnormality of the hair,Anal mucosal leukoplakia,Pruritus
ATP2A3	
BECN1	
BECN2	
BIRC6	
BLOC1S1	
BLOC1S2	
BORCS5	
BORCS6	
BORCS7	
BORCS8	
CACNA1A	Saccadic smooth pursuit,Gaze-evoked nystagmus,Athetosis,Blepharospasm,Autosomal dominant inheritance,Incoordination,Confusion,Generalized hypotonia,Dyscalculia,Diplopia,Unsteady gait,Vertigo,Heterogeneous,Gait ataxia,Hemiplegia/hemiparesis,Sensorineural hearing impairment,Progressive cerebellar ataxia,Abnormal head movements,Drowsiness,Fever,Migraine,Migraine with aura,Babinski sign,Genetic anticipation,Intention tremor,Gaze-evoked horizontal nystagmus,Muscle weakness,Bradyopsia,Vertical nystagmus,Downbeat nystagmus,EEG abnormality,Dystonia,Esotropia,Dysphasia,Myotonia,Abnormality of movement,Tremor,Auditory hallucinations,Visual hallucinations,Hyperreflexia,Behavioral abnormality,Pigmentary retinopathy,Epileptic encephalopathy,Psychosis,Cerebellar vermis atrophy,Paresthesia,Agitation,Episodic ataxia,Pallor,Vestibular dysfunction,Torticollis,Flexion contracture,Impaired smooth pursuit,Progressive,Vomiting,Dysphagia,Intellectual disability,Nausea and vomiting,Irritability,Seizures,Ataxia,Anxiety,Apathy,Transient unilateral blurring of vision,Tinnitus,Coma,Dysarthria,Global developmental delay,Incomplete penetrance,Hemiparesis,Abnormal vestibulo-ocular reflex,Cerebellar atrophy,Choking episodes,Sensory neuropathy,Postural instability,Hypertonia,Hemiplegia,Nystagmus
CALCOCO2	
CTTN	
DCTN1	Skeletal muscle atrophy,Neurodegeneration,Facial palsy,Autosomal dominant inheritance,Paralysis,Short stepped shuffling gait,Rigidity,Bradykinesia,Abnormality of metabolism/homeostasis,Parkinsonism,Distal muscle weakness,Hand muscle weakness,Weight loss,Mask-like facies,Hand muscle atrophy,Lower limb muscle weakness,Respiratory insufficiency,Dyspnea,Insomnia,Hypotension,Sleep disturbance,Tremor,Amyotrophic lateral sclerosis,Respiratory failure,Abnormal lower motor neuron morphology,Muscle cramps,Vocal cord paralysis,Central hypoventilation,Emotional lability,Agitation,Depressivity,Inappropriate behavior,Laryngospasm,Weak voice,Dementia,Xerostomia,Fatigue,Slow progression,Rapidly progressive,Nausea and vomiting,Frontotemporal dementia,Anxiety,Apathy,Hypoventilation,Spasticity,Dysarthria,Distal amyotrophy,Personality changes,Pain,Fatigable weakness of swallowing muscles,Fatigable weakness of respiratory muscles,Generalized muscle weakness,Adult onset,Vertical supranuclear gaze palsy
EPG5	Cataract,Developmental cataract,Autosomal recessive inheritance,Optic atrophy,Abnormality of the thymus,Generalized hypotonia,Schizencephaly,White matter neuronal heterotopia,Cutaneous anergy,Acidosis,Sensorineural hearing impairment,Abnormality of retinal pigmentation,Recurrent fungal infections,Renal tubular acidosis,Decreased circulating IgG2 level,Recurrent respiratory infections,Recurrent bacterial infections,Decreased proportion of CD4-positive T cells,Immunodeficiency,Feeding difficulties in infancy,Chronic mucocutaneous candidiasis,Cerebellar vermis hypoplasia,Cerebellar hypoplasia,Decreased T cell activation,Penile hypospadias,Cleft palate,Left ventricular hypertrophy,EEG abnormality,Depressed nasal tip,Sleep disturbance,Hypertelorism,Cerebral cortical atrophy,Cleft upper lip,Recurrent viral infections,Hypoplasia of the pons,Abnormal macular morphology,Ocular albinism,Hypopigmentation of the fundus,Hypotelorism,High palate,Decreased circulating IgG level,Micrognathia,Hypopigmentation of hair,Intellectual disability,Seizures,Short stature,Congestive heart failure,Muscular hypotonia,Failure to thrive,Abnormal posturing,Cardiomyopathy,Growth delay,Joint stiffness,Dilated cardiomyopathy,Ureteral atresia,Global developmental delay,Low-set ears,Death in infancy,Hypopigmentation of the skin,Motor delay,Congenital onset,Agenesis of corpus callosum,Microcephaly,Cellular immunodeficiency,Albinism,Myopathy,Nystagmus
GABARAP	
GABARAPL1	
GABARAPL2	
HDAC6	Macrocephaly,Metaphyseal cupping of proximal phalanges,Hyperkeratosis,Short philtrum,Distal shortening of limbs,Rhizomelia,Depressed nasal ridge,Metaphyseal cupping of metacarpals,X-linked dominant inheritance,Frontal bossing,Wide mouth,Micrognathia,Platyspondyly,Intrauterine growth retardation,Intellectual disability, mild,Cerebellar hypoplasia,Decreased skull ossification,Abnormality of the calcaneus,Short foot,Hydrocephalus,11 pairs of ribs,Metaphyseal chondrodysplasia,Low-set ears,Hypoplastic iliac wing,Death in infancy,Thin ribs,Hypoplasia of the calcaneus,Short palm,Microphthalmia,Short nose
HSPB8	Pes cavus,Areflexia,Decreased amplitude of sensory action potentials,Autosomal dominant inheritance,Hyporeflexia of lower limbs,Paresis of extensor muscles of the big toe,Distal amyotrophy,Paralysis,Heterogeneous,Hyporeflexia,EMG: chronic denervation signs,Peripheral axonal neuropathy,EMG: neuropathic changes,Distal sensory impairment,Scoliosis,Areflexia of lower limbs,Decreased number of large peripheral myelinated nerve fibers,Distal muscle weakness,Distal lower limb muscle weakness
INPP5E	Macrocephaly,Multicystic kidney dysplasia,Cataract,Autosomal recessive inheritance,Gait disturbance,Generalized hypotonia,Chronic hepatic failure,Long face,Inguinal hernia,Epicanthus,Agenesis of cerebellar vermis,Encephalocele,Foot polydactyly,Retinal dysplasia,Occipital encephalocele,Intellectual disability, moderate,Cerebellar vermis hypoplasia,Retinal dystrophy,Congenital hepatic fibrosis,Micropenis,Chorioretinal coloboma,Central apnea,Apnea,Protruding tongue,Tremor,Abnormal saccadic eye movements,Visual loss,Episodic tachypnea,Hypoplasia of the brainstem,Hyperreflexia,Biparietal narrowing,Hemifacial spasm,Optic nerve coloboma,Polymicrogyria,Neoplasm of the liver,Renal insufficiency,Enlarged fossa interpeduncularis,Scoliosis,Impaired smooth pursuit,Elevated hepatic transaminase,Abnormality of the hypothalamus-pituitary axis,Iris coloboma,Occipital myelomeningocele,Abnormality of ocular smooth pursuit,Renal cyst,Low-set, posteriorly rotated ears,Nephropathy,Low-set ears,Cirrhosis,Dextrocardia,Molar tooth sign on MRI,Hepatic fibrosis,Nystagmus,Intrahepatic biliary atresia,Portal hypertension,Hand polydactyly,Postaxial hand polydactyly,Abnormal vertebral morphology,Oculomotor apraxia,Heterogeneous,Dysgenesis of the cerebellar vermis,Elongated superior cerebellar peduncle,Macroglossia,Situs inversus totalis,Triangular-shaped open mouth,Truncal obesity,Feeding difficulties in infancy,Prominent nasal bridge,Cleft palate,Feeding difficulties,Hepatomegaly,Aplasia/Hypoplasia of the cerebellum,Aplasia/Hypoplasia of the corpus callosum,Oral cleft,Aganglionic megacolon,Brainstem dysplasia,Aggressive behavior,Anteverted nares,Splenomegaly,Childhood-onset truncal obesity,Prominent forehead,Abnormality of neuronal migration,Retinal coloboma,Abnormality of the foot,Intellectual disability,Seizures,Ataxia,Muscular hypotonia,Phenotypic variability,Strabismus,Self-mutilation,Neonatal breathing dysregulation,Hydrocephalus,Delayed speech and language development,Global developmental delay,Reduced visual acuity,Hyperactivity,Abnormal form of the vertebral bodies,Highly arched eyebrow,Visual impairment,Agenesis of corpus callosum,Ptosis
IRGM	
KXD1	
LAMP1	
LAMP2	Intellectual disability,Pes cavus,EMG: myopathic abnormalities,Phenotypic variability,Elevated serum creatine phosphokinase,Myocardial necrosis,Hypokinesia,Hypertrophic cardiomyopathy,Cardiomegaly,Gait disturbance,Dilated cardiomyopathy,Global developmental delay,X-linked dominant inheritance,Cardiorespiratory arrest,Muscle flaccidity,Wolff-Parkinson-White syndrome,Generalized amyotrophy,Proximal muscle weakness,Myocardial fibrosis,Visual impairment,Exercise intolerance,Arrhythmia,Cognitive impairment,Exercise-induced muscle cramps
LAMP3	
LAMP5	
MAP1LC3A	
MAP1LC3B	
MAP1LC3C	
MGRN1	
MYO1C	
MYO6	Autosomal dominant inheritance,Vestibular dysfunction,Autosomal recessive inheritance,Progressive sensorineural hearing impairment,Congenital stationary night blindness,Bilateral sensorineural hearing impairment,Rod-cone dystrophy
NAPA	
NSF	
OPTN	Muscle cramps,Skeletal muscle atrophy,Neurodegeneration,Autosomal dominant inheritance,Emotional lability,Agitation,Depressivity,Open angle glaucoma,Paralysis,Laryngospasm,Xerostomia,Fatigue,Tongue fasciculations,Dysphagia,Nausea and vomiting,Myopia,Anxiety,Spasticity,Dysarthria,Muscle weakness,Dyspnea,Pain,Fatigable weakness of swallowing muscles,Fatigable weakness of respiratory muscles,Amyotrophic lateral sclerosis,Generalized muscle weakness,Respiratory failure
OSBPL1A	
PI4K2A	
PIK3C3	
PLEKHM1	Phenotypic variability,Recurrent fractures,Autosomal recessive inheritance,Osteopetrosis,Osteopenia,Thickened calvaria,Dense metaphyseal bands,Erlenmeyer flask deformity of the femurs,Anemia
PSEN1	Collectionism,Emotional blunting,Spastic tetraparesis,Autosomal dominant inheritance,Gait disturbance,Confusion,Semantic dementia,Visual agnosia,Perseveration,Parkinsonism,Generalized tonic-clonic seizures,Abnormality of extrapyramidal motor function,Dyslexia,Alexia,Agnosia,Finger agnosia,Dysgraphia,Polyphagia,Echolalia,Perifolliculitis,Memory impairment,Dystonia,Dysphasia,Myoclonus,Abnormal lower motor neuron morphology,Inappropriate sexual behavior,Anomia,Grammar-specific speech disorder,Hyperreflexia,Loss of speech,Cerebral cortical atrophy,Fasciculations,Aphasia,Abnormality of neutrophils,Lower limb hyperreflexia,Rapidly progressive,Frontotemporal dementia,Congestive heart failure,Dilated cardiomyopathy,Abnormal brain FDG positron emission tomography,Motor aphasia,Gliosis,Chronic furunculosis,Optic ataxia,Myopathy,Abulia,EMG abnormality,Neurofibrillary tangles,Dyscalculia,Apraxia,Astrocytosis,Oculomotor apraxia,Abnormal social behavior,Heterogeneous,Sensorineural hearing impairment,Brain atrophy,Language impairment,Babinski sign,Poor speech,Senile plaques,Sporadic,Elevated serum creatine phosphokinase,Primitive reflex,Spoken Word Recognition Deficit,Amyotrophic lateral sclerosis,Upper motor neuron dysfunction,EEG with continuous slow activity,Abnormality of the cerebral white matter,Psychosis,Hyperorality,Restlessness,Temporal cortical atrophy,Agitation,Depressivity,Aggressive behavior,Deposits immunoreactive to beta-amyloid protein,Inappropriate behavior,Alzheimer disease,Restrictive behavior,Palmoplantar keratoderma,Dementia,Frontal lobe dementia,Thickened nuchal skin fold,Acne inversa,Stereotypy,Disinhibition,Dysphagia,Intellectual disability,Irritability,Neuronal loss in central nervous system,Hallucinations,Seizures,Ataxia,Lipoatrophy,Anxiety,Apathy,Recurrent cutaneous abscess formation,Frontotemporal cerebral atrophy,Inappropriate laughter,Dysarthria,Personality changes,Lack of insight,Abnormality of vision,Hypertonia,Mutism,Adult onset,Syncope
RAB20	
RAB21	
RAB29	
RAB34	
RAB39A	
